block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
1,00:00,00:15,150.76,106.29,187.82,115.76,185.76,81.53,MEDIUM,LOW,0.0
2,00:15,00:30,138.05,94.8,174.09,103.05,173.05,79.3,MEDIUM,LOW,0.0
3,00:30,00:45,199.42,150.28,240.37,164.42,234.42,90.1,MEDIUM,LOW,0.0
4,00:45,01:00,206.0,156.23,247.48,171.0,241.0,91.26,MEDIUM,LOW,0.0
5,01:00,01:15,88.99,50.44,121.11,53.99,123.99,70.66,MEDIUM,LOW,0.0
6,01:15,01:30,146.71,102.63,183.45,111.71,181.71,80.82,MEDIUM,LOW,0.0
7,01:30,01:45,181.64,134.2,221.17,146.64,216.64,86.97,MEDIUM,LOW,0.0
8,01:45,02:00,155.5,110.57,192.94,120.5,190.5,82.37,MEDIUM,LOW,0.0
9,02:00,02:15,101.65,61.9,134.79,66.65,136.65,72.89,MEDIUM,LOW,0.0
10,02:15,02:30,161.99,116.44,199.95,126.99,196.99,83.51,MEDIUM,LOW,0.0
11,02:30,02:45,112.1,71.33,146.06,77.1,147.1,74.73,MEDIUM,LOW,0.0
12,02:45,03:00,220.61,169.43,263.26,185.61,255.61,93.83,MEDIUM,LOW,0.0
13,03:00,03:15,193.93,145.32,234.45,158.93,228.93,89.13,MEDIUM,LOW,0.0
14,03:15,03:30,212.4,162.01,254.39,177.4,247.4,92.38,MEDIUM,LOW,0.0
15,03:30,03:45,163.84,118.12,201.95,128.84,198.84,83.84,MEDIUM,LOW,0.0
16,03:45,04:00,167.14,121.09,205.51,132.14,202.14,84.42,MEDIUM,LOW,0.0
17,04:00,04:15,196.21,147.37,236.9,161.21,231.21,89.53,MEDIUM,LOW,0.0
18,04:15,04:30,211.45,161.15,253.36,176.45,246.45,92.21,MEDIUM,LOW,0.0
19,04:30,04:45,170.54,124.17,209.18,135.54,205.54,85.01,MEDIUM,LOW,0.0
20,04:45,05:00,131.91,89.25,167.47,96.91,166.91,78.22,MEDIUM,LOW,0.0
21,05:00,05:15,157.98,112.81,195.62,122.98,192.98,82.8,MEDIUM,LOW,0.0
22,05:15,05:30,178.98,131.8,218.3,143.98,213.98,86.5,MEDIUM,LOW,0.0
23,05:30,05:45,184.79,137.05,224.57,149.79,219.79,87.52,MEDIUM,LOW,0.0
24,05:45,06:00,150.44,106.0,187.48,115.44,185.44,81.48,MEDIUM,LOW,0.0
25,06:00,06:15,119.92,78.4,154.51,84.92,154.92,76.11,MEDIUM,LOW,0.0
26,06:15,06:30,128.7,86.34,163.99,93.7,163.7,77.65,MEDIUM,LOW,0.0
27,06:30,06:45,135.4,92.4,171.23,100.4,170.4,78.83,MEDIUM,LOW,0.0
28,06:45,07:00,173.77,127.09,212.67,138.77,208.77,85.58,MEDIUM,LOW,0.0
29,07:00,07:15,107.98,67.62,141.62,72.98,142.98,74.0,MEDIUM,LOW,0.0
30,07:15,07:30,167.07,121.03,205.43,132.07,202.07,84.4,MEDIUM,LOW,0.0
31,07:30,07:45,144.31,100.46,180.86,109.31,179.31,80.4,MEDIUM,LOW,0.0
32,07:45,08:00,217.05,166.21,259.41,182.05,252.05,93.2,MEDIUM,LOW,0.0
33,08:00,08:15,150.27,105.85,187.3,115.27,185.27,81.45,MEDIUM,LOW,0.0
34,08:15,08:30,170.03,123.7,208.63,135.03,205.03,84.92,MEDIUM,LOW,0.0
35,08:30,08:45,150.56,106.11,187.61,115.56,185.56,81.5,MEDIUM,LOW,0.0
36,08:45,09:00,149.09,104.78,186.02,114.09,184.09,81.24,MEDIUM,LOW,0.0
37,09:00,09:15,209.88,159.73,251.67,174.88,244.88,91.94,MEDIUM,LOW,0.0
38,09:15,09:30,146.19,102.16,182.89,111.19,181.19,80.73,MEDIUM,LOW,0.0
39,09:30,09:45,144.9,100.99,181.49,109.9,179.9,80.5,MEDIUM,LOW,0.0
40,09:45,10:00,156.25,111.25,193.75,121.25,191.25,82.5,MEDIUM,LOW,0.0
41,10:00,10:15,151.81,107.23,188.95,116.81,186.81,81.72,MEDIUM,LOW,0.0
42,10:15,10:30,153.16,108.46,190.41,118.16,188.16,81.96,MEDIUM,LOW,0.0
43,10:30,10:45,236.43,183.74,280.35,201.43,271.43,96.61,MEDIUM,LOW,0.0
44,10:45,11:00,186.59,138.68,226.52,151.59,221.59,87.84,MEDIUM,LOW,0.0
45,11:00,11:15,130.43,87.91,165.86,95.43,165.43,77.96,MEDIUM,LOW,0.0
46,11:15,11:30,203.99,154.41,245.31,168.99,238.99,90.9,MEDIUM,LOW,0.0
47,11:30,11:45,83.03,45.06,114.67,48.03,118.03,69.61,MEDIUM,LOW,0.0
48,11:45,12:00,109.22,68.73,142.96,74.22,144.22,74.22,MEDIUM,LOW,0.0
49,12:00,12:15,105.09,65.0,138.5,70.09,140.09,73.5,MEDIUM,LOW,0.0
50,12:15,12:30,229.74,177.68,273.12,194.74,264.74,95.43,MEDIUM,LOW,0.0
51,12:30,12:45,181.23,133.84,220.73,146.23,216.23,86.9,MEDIUM,LOW,0.0
52,12:45,13:00,89.73,51.12,121.91,54.73,124.73,70.79,MEDIUM,LOW,0.0
53,13:00,13:15,160.2,114.82,198.01,125.2,195.2,83.19,MEDIUM,LOW,0.0
54,13:15,13:30,95.56,56.38,128.2,60.56,130.56,71.82,MEDIUM,LOW,0.0
55,13:30,13:45,120.38,78.82,155.01,85.38,155.38,76.19,MEDIUM,LOW,0.0
56,13:45,14:00,149.24,104.92,186.18,114.24,184.24,81.27,MEDIUM,LOW,0.0
57,14:00,14:15,227.91,176.03,271.14,192.91,262.91,95.11,MEDIUM,LOW,0.0
58,14:15,14:30,233.09,180.72,276.74,198.09,268.09,96.02,MEDIUM,LOW,0.0
59,14:30,14:45,132.28,89.58,167.86,97.28,167.28,78.28,MEDIUM,LOW,0.0
60,14:45,15:00,177.41,130.38,216.61,142.41,212.41,86.22,MEDIUM,LOW,0.0
61,15:00,15:15,211.76,161.43,253.7,176.76,246.76,92.27,MEDIUM,LOW,0.0
62,15:15,15:30,172.71,126.13,211.52,137.71,207.71,85.4,MEDIUM,LOW,0.0
63,15:30,15:45,152.16,107.56,189.34,117.16,187.16,81.78,MEDIUM,LOW,0.0
64,15:45,16:00,194.43,145.77,234.99,159.43,229.43,89.22,MEDIUM,LOW,0.0
65,16:00,16:15,138.39,95.1,174.46,103.39,173.39,79.36,MEDIUM,LOW,0.0
66,16:15,16:30,120.45,78.88,155.08,85.45,155.45,76.2,MEDIUM,LOW,0.0
67,16:30,16:45,156.88,111.82,194.43,121.88,191.88,82.61,MEDIUM,LOW,0.0
68,16:45,17:00,156.37,111.36,193.88,121.37,191.37,82.52,MEDIUM,LOW,0.0
69,17:00,17:15,96.9,57.6,129.65,61.9,131.9,72.05,MEDIUM,LOW,0.0
70,17:15,17:30,164.94,119.11,203.14,129.94,199.94,84.03,MEDIUM,LOW,0.0
71,17:30,17:45,164.18,118.42,202.31,129.18,199.18,83.9,MEDIUM,LOW,0.0
72,17:45,18:00,177.64,130.59,216.85,142.64,212.64,86.26,MEDIUM,LOW,0.0
73,18:00,18:15,149.4,105.06,186.35,114.4,184.4,81.29,MEDIUM,LOW,0.0
74,18:15,18:30,179.25,132.05,218.59,144.25,214.25,86.55,MEDIUM,LOW,0.0
75,18:30,18:45,189.6,141.4,229.77,154.6,224.6,88.37,MEDIUM,LOW,0.0
76,18:45,19:00,230.9,178.73,274.37,195.9,265.9,95.64,MEDIUM,LOW,0.0
77,19:00,19:15,168.14,122.0,206.6,133.14,203.14,84.59,MEDIUM,LOW,0.0
78,19:15,19:30,116.78,75.57,151.12,81.78,151.78,75.55,MEDIUM,LOW,0.0
79,19:30,19:45,104.41,64.39,137.76,69.41,139.41,73.38,MEDIUM,LOW,0.0
80,19:45,20:00,110.62,70.0,144.47,75.62,145.62,74.47,MEDIUM,LOW,0.0
81,20:00,20:15,129.52,87.09,164.88,94.52,164.52,77.8,MEDIUM,LOW,0.0
82,20:15,20:30,240.63,187.53,284.88,205.63,275.63,97.35,MEDIUM,LOW,0.0
83,20:30,20:45,135.96,92.9,171.83,100.96,170.96,78.93,MEDIUM,LOW,0.0
84,20:45,21:00,97.18,57.85,129.96,62.18,132.18,72.1,MEDIUM,LOW,0.0
85,21:00,21:15,170.73,124.34,209.39,135.73,205.73,85.05,MEDIUM,LOW,0.0
86,21:15,21:30,225.95,174.26,269.02,190.95,260.95,94.77,MEDIUM,LOW,0.0
87,21:30,21:45,161.76,116.23,199.7,126.76,196.76,83.47,MEDIUM,LOW,0.0
88,21:45,22:00,118.68,77.29,153.18,83.68,153.68,75.89,MEDIUM,LOW,0.0
89,22:00,22:15,150.34,105.91,187.37,115.34,185.34,81.46,MEDIUM,LOW,0.0
90,22:15,22:30,138.97,95.63,175.09,103.97,173.97,79.46,MEDIUM,LOW,0.0
91,22:30,22:45,136.54,93.44,172.47,101.54,171.54,79.03,MEDIUM,LOW,0.0
92,22:45,23:00,243.15,189.81,287.61,208.15,278.15,97.8,MEDIUM,LOW,0.0
93,23:00,23:15,222.79,171.41,265.62,187.79,257.79,94.21,MEDIUM,LOW,0.0
94,23:15,23:30,169.17,122.93,207.7,134.17,204.17,84.77,MEDIUM,LOW,0.0
95,23:30,23:45,143.54,99.76,180.02,108.54,178.54,80.26,MEDIUM,LOW,0.0
96,23:45,00:00,132.72,89.98,168.33,97.72,167.72,78.36,MEDIUM,LOW,0.0
