block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
1,00:00,00:15,105.77,55.46,147.69,70.77,140.77,92.23,MEDIUM,LOW,0.0
2,00:15,00:30,74.61,30.28,111.55,39.61,109.61,81.26,MEDIUM,LOW,0.0
3,00:30,00:45,72.3,28.42,108.87,37.3,107.3,80.45,MEDIUM,LOW,0.0
4,00:45,01:00,100.89,51.52,142.03,65.89,135.89,90.51,MEDIUM,LOW,0.0
5,01:00,01:15,69.2,25.91,105.27,34.2,104.2,79.36,MEDIUM,LOW,0.0
6,01:15,01:30,54.95,14.4,88.74,19.95,89.95,74.34,MEDIUM,LOW,0.0
7,01:30,01:45,65.27,22.74,100.72,30.27,100.27,77.98,MEDIUM,LOW,0.0
8,01:45,02:00,50.02,10.41,83.02,15.02,85.02,72.61,MEDIUM,LOW,0.0
9,02:00,02:15,55.21,14.61,89.04,20.21,90.21,74.43,MEDIUM,LOW,0.0
10,02:15,02:30,61.75,19.89,96.63,26.75,96.75,76.73,MEDIUM,LOW,0.0
11,02:30,02:45,86.47,39.87,125.31,51.47,121.47,85.44,MEDIUM,LOW,0.0
12,02:45,03:00,80.71,35.21,118.62,45.71,115.71,83.41,MEDIUM,LOW,0.0
13,03:00,03:15,58.82,17.53,93.23,23.82,93.82,75.7,MEDIUM,LOW,0.0
14,03:15,03:30,62.28,20.33,97.25,27.28,97.28,76.92,MEDIUM,LOW,0.0
15,03:30,03:45,60.16,18.61,94.79,25.16,95.16,76.18,MEDIUM,LOW,0.0
16,03:45,04:00,88.13,41.21,127.23,53.13,123.13,86.02,MEDIUM,LOW,0.0
17,04:00,04:15,123.2,69.55,167.91,88.2,158.2,98.37,MEDIUM,LOW,0.0
18,04:15,04:30,52.63,12.53,86.05,17.63,87.63,73.53,MEDIUM,LOW,0.0
19,04:30,04:45,41.56,3.58,73.21,6.56,76.56,69.63,MEDIUM,LOW,0.0
20,04:45,05:00,82.48,36.65,120.68,47.48,117.48,84.03,MEDIUM,LOW,0.0
21,05:00,05:15,51.72,11.79,84.99,16.72,86.72,73.2,MEDIUM,LOW,0.0
22,05:15,05:30,86.94,40.25,125.85,51.94,121.94,85.6,MEDIUM,LOW,0.0
23,05:30,05:45,65.2,22.68,100.63,30.2,100.2,77.95,MEDIUM,LOW,0.0
24,05:45,06:00,49.25,9.79,82.13,14.25,84.25,72.34,MEDIUM,LOW,0.0
25,06:00,06:15,65.59,22.99,101.08,30.59,100.59,78.09,MEDIUM,LOW,0.0
26,06:15,06:30,76.34,31.68,113.55,41.34,111.34,81.87,MEDIUM,LOW,0.0
27,06:30,06:45,89.94,42.67,129.33,54.94,124.94,86.66,MEDIUM,LOW,0.0
28,06:45,07:00,78.46,33.39,116.01,43.46,113.46,82.62,MEDIUM,LOW,0.0
29,07:00,07:15,88.46,41.48,127.61,53.46,123.46,86.14,MEDIUM,LOW,0.0
30,07:15,07:30,76.28,31.63,113.48,41.28,111.28,81.85,MEDIUM,LOW,0.0
31,07:30,07:45,64.0,21.71,99.24,29.0,99.0,77.53,MEDIUM,LOW,0.0
32,07:45,08:00,98.29,49.42,139.02,63.29,133.29,89.6,MEDIUM,LOW,0.0
33,08:00,08:15,65.48,22.91,100.96,30.48,100.48,78.05,MEDIUM,LOW,0.0
34,08:15,08:30,125.61,71.49,170.71,90.61,160.61,99.21,MEDIUM,LOW,0.0
35,08:30,08:45,109.56,58.52,152.08,74.56,144.56,93.56,MEDIUM,LOW,0.0
36,08:45,09:00,109.43,58.42,151.93,74.43,144.43,93.52,MEDIUM,LOW,0.0
37,09:00,09:15,29.98,0.0,59.77,0.0,64.98,59.77,MEDIUM,LOW,0.0
38,09:15,09:30,71.51,27.78,107.95,36.51,106.51,80.17,MEDIUM,LOW,0.0
39,09:30,09:45,90.64,43.24,130.14,55.64,125.64,86.9,MEDIUM,LOW,0.0
40,09:45,10:00,49.73,10.18,82.68,14.73,84.73,72.5,MEDIUM,LOW,0.0
41,10:00,10:15,70.91,27.3,107.26,35.91,105.91,79.96,MEDIUM,LOW,0.0
42,10:15,10:30,84.48,38.26,123.0,49.48,119.48,84.74,MEDIUM,LOW,0.0
43,10:30,10:45,56.68,15.8,90.75,21.68,91.68,74.95,MEDIUM,LOW,0.0
44,10:45,11:00,94.86,46.64,135.03,59.86,129.86,88.39,MEDIUM,LOW,0.0
45,11:00,11:15,81.3,35.69,119.31,46.3,116.3,83.62,MEDIUM,LOW,0.0
46,11:15,11:30,94.37,46.25,134.47,59.37,129.37,88.22,MEDIUM,LOW,0.0
47,11:30,11:45,35.94,0.0,66.69,0.94,70.94,66.69,MEDIUM,LOW,0.0
48,11:45,12:00,65.56,22.97,101.05,30.56,100.56,78.08,MEDIUM,LOW,0.0
49,12:00,12:15,82.37,36.56,120.55,47.37,117.37,84.0,MEDIUM,LOW,0.0
50,12:15,12:30,91.55,43.97,131.2,56.55,126.55,87.22,MEDIUM,LOW,0.0
51,12:30,12:45,69.67,26.29,105.82,34.67,104.67,79.52,MEDIUM,LOW,0.0
52,12:45,13:00,87.61,40.79,126.63,52.61,122.61,85.84,MEDIUM,LOW,0.0
53,13:00,13:15,89.96,42.69,129.35,54.96,124.96,86.67,MEDIUM,LOW,0.0
