block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
1,00:00,00:15,113.34,65.2,153.45,78.34,148.34,88.25,MEDIUM,LOW,0.0
2,00:15,00:30,60.58,20.89,93.66,25.58,95.58,72.77,MEDIUM,LOW,0.0
3,00:30,00:45,132.9,81.64,175.62,97.9,167.9,93.98,MEDIUM,LOW,0.0
4,00:45,01:00,81.33,38.31,117.17,46.33,116.33,78.86,MEDIUM,LOW,0.0
5,01:00,01:15,94.01,48.97,131.54,59.01,129.01,82.58,MEDIUM,LOW,0.0
6,01:15,01:30,107.09,59.96,146.37,72.09,142.09,86.41,MEDIUM,LOW,0.0
7,01:30,01:45,109.84,62.26,149.48,74.84,144.84,87.22,MEDIUM,LOW,0.0
8,01:45,02:00,98.11,52.41,136.19,63.11,133.11,83.78,MEDIUM,LOW,0.0
9,02:00,02:15,122.15,72.61,163.44,87.15,157.15,90.83,MEDIUM,LOW,0.0
10,02:15,02:30,91.41,46.79,128.6,56.41,126.41,81.81,MEDIUM,LOW,0.0
11,02:30,02:45,119.27,70.18,160.17,84.27,154.27,89.99,MEDIUM,LOW,0.0
12,02:45,03:00,122.2,72.65,163.5,87.2,157.2,90.85,MEDIUM,LOW,0.0
13,03:00,03:15,67.44,26.65,101.44,32.44,102.44,74.78,MEDIUM,LOW,0.0
14,03:15,03:30,103.77,57.17,142.61,68.77,138.77,85.44,MEDIUM,LOW,0.0
15,03:30,03:45,79.28,36.59,114.85,44.28,114.28,78.26,MEDIUM,LOW,0.0
16,03:45,04:00,98.34,52.61,136.45,63.34,133.34,83.85,MEDIUM,LOW,0.0
17,04:00,04:15,133.85,82.43,176.69,98.85,168.85,94.26,MEDIUM,LOW,0.0
18,04:15,04:30,105.84,58.91,144.96,70.84,140.84,86.05,MEDIUM,LOW,0.0
19,04:30,04:45,113.18,65.07,153.27,78.18,148.18,88.2,MEDIUM,LOW,0.0
20,04:45,05:00,119.6,70.47,160.55,84.6,154.6,90.08,MEDIUM,LOW,0.0
21,05:00,05:15,94.15,49.09,131.7,59.15,129.15,82.62,MEDIUM,LOW,0.0
22,05:15,05:30,114.73,66.37,155.03,79.73,149.73,88.65,MEDIUM,LOW,0.0
23,05:30,05:45,110.16,62.54,149.85,75.16,145.16,87.31,MEDIUM,LOW,0.0
24,05:45,06:00,108.25,60.93,147.69,73.25,143.25,86.75,MEDIUM,LOW,0.0
25,06:00,06:15,82.19,39.04,118.14,47.19,117.19,79.11,MEDIUM,LOW,0.0
