block_no,time_from,time_to,scheduled_mw,p10_mw,p90_mw,conf_lower,conf_upper,uncertainty_mw,confidence,dsm_risk,deviation_pct
1,00:00,00:15,0.04,0.0,25.04,0.0,35.04,25.04,HIGH,LOW,0.0
2,00:15,00:30,0.06,0.0,25.06,0.0,35.06,25.06,HIGH,LOW,0.0
3,00:30,00:45,0.08,0.0,25.09,0.0,35.08,25.09,HIGH,LOW,0.0
4,00:45,01:00,0.13,0.0,25.14,0.0,35.13,25.14,HIGH,LOW,0.0
5,01:00,01:15,0.18,0.0,25.19,0.0,35.18,25.19,HIGH,LOW,0.0
6,01:15,01:30,0.25,0.0,25.26,0.0,35.25,25.26,HIGH,LOW,0.0
7,01:30,01:45,0.34,0.0,25.36,0.0,35.34,25.36,HIGH,LOW,0.0
8,01:45,02:00,0.51,0.0,25.54,0.0,35.51,25.54,HIGH,LOW,0.0
9,02:00,02:15,0.77,0.0,25.81,0.0,35.77,25.81,HIGH,LOW,0.0
10,02:15,02:30,0.88,0.0,25.93,0.0,35.88,25.93,HIGH,LOW,0.0
11,02:30,02:45,1.56,0.0,26.63,0.0,36.56,26.63,HIGH,LOW,0.0
12,02:45,03:00,2.06,0.0,27.16,0.0,37.06,27.16,HIGH,LOW,0.0
13,03:00,03:15,2.28,0.0,27.41,0.0,37.28,27.41,HIGH,LOW,0.0
14,03:15,03:30,3.83,0.0,29.01,0.0,38.83,29.01,HIGH,LOW,0.0
15,03:30,03:45,4.68,0.0,29.92,0.0,39.68,29.92,HIGH,LOW,0.0
16,03:45,04:00,5.79,0.0,31.11,0.0,40.79,31.11,HIGH,LOW,0.0
17,04:00,04:15,8.02,0.0,33.44,0.0,43.02,33.44,HIGH,LOW,0.0
18,04:15,04:30,12.01,0.0,37.56,0.0,47.01,37.56,HIGH,LOW,0.0
19,04:30,04:45,14.57,0.0,40.28,0.0,49.57,40.28,HIGH,LOW,0.0
20,04:45,05:00,17.74,0.0,43.66,0.0,52.74,43.66,HIGH,LOW,0.0
21,05:00,05:15,23.86,0.0,50.02,0.0,58.86,50.02,HIGH,LOW,0.0
22,05:15,05:30,28.27,0.0,54.74,0.0,63.27,54.74,HIGH,LOW,0.0
23,05:30,05:45,42.54,10.32,69.39,7.54,77.54,59.07,HIGH,LOW,0.0
24,05:45,06:00,38.21,5.44,65.51,3.21,73.21,60.07,HIGH,LOW,0.0
25,06:00,06:15,56.86,23.45,84.71,21.86,91.86,61.26,HIGH,LOW,0.0
26,06:15,06:30,67.76,33.57,96.25,32.76,102.76,62.68,HIGH,LOW,0.0
27,06:30,06:45,78.29,43.2,107.53,43.29,113.29,64.33,HIGH,LOW,0.0
28,06:45,07:00,96.86,60.73,126.98,61.86,131.86,66.25,HIGH,LOW,0.0
29,07:00,07:15,129.4,92.06,160.51,94.4,164.4,68.46,HIGH,LOW,0.0
30,07:15,07:30,141.86,103.15,174.11,106.86,176.86,70.96,HIGH,LOW,0.0
31,07:30,07:45,163.31,123.06,196.84,128.31,198.31,73.78,HIGH,LOW,0.0
32,07:45,08:00,213.83,171.88,248.8,178.83,248.83,76.92,HIGH,LOW,0.0
33,08:00,08:15,204.55,160.71,241.08,169.55,239.55,80.38,HIGH,LOW,0.0
34,08:15,08:30,272.86,226.96,311.1,237.86,307.86,84.14,HIGH,LOW,0.0
35,08:30,08:45,300.49,252.39,340.57,265.49,335.49,88.18,HIGH,LOW,0.0
36,08:45,09:00,330.18,279.73,372.22,295.18,365.18,92.49,HIGH,LOW,0.0
